request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"294de46d-3ddf-47c9-a9b1-1240f576a402",GET,/,"debug=true&locale=en",,302,,,,60004998698000,60005060908400,60005066764300
"7d2aab9e-2f7f-4ba7-a95e-c33a0a86a303",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=648,,60005092145000,60005105732400,60009072090100
"60bae047-4c3a-47a0-bec8-b01a9a05b8a0",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,60009189540900,60009196913700,60009198367200
"2adb0c9a-1d0b-4594-9d5d-a75002271c27",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,60009210385400,60009213640600,60009214642100
"c435240d-f7c4-4e44-b80c-678c12ca3454",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,60009221726200,60009223885900,60009224808100
"aa8642e5-8131-4baa-a8fb-19328cbf7a68",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,60009231605900,60009233778000,60009234747900
"2542e865-59da-4fc1-b03e-5a79b9a7bc30",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,60009240784900,60009243140500,60009244472600
"7517aaaa-3f33-4b33-8663-57ab1fda4b3c",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,60009251368900,60009253414300,60009254240700
"d7d12453-301a-491d-a38a-a4c40c386f65",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,60009260356500,60009262316100,60009263122900
"7d8d84d2-3157-4e8e-a1aa-d7ac8c440b28",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,60009268816900,60009271310100,60009272279800
"fa86f0f3-c3c7-4867-b635-64f248158f98",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,60009279089200,60009281721300,60009282777900
"e343eb2f-3cf6-4aaa-a9fd-1294a02c1642",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,60009290707300,60009292887900,60009293806700
"33375003-13e5-4403-bdb0-845f461d1533",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,60009302903600,60009305351500,60009306253900
"6298d1eb-a461-409f-a306-e287cb9f4678",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,60009311839800,60009314226500,60009315155700
"574461ee-4b27-423d-a6c2-0f5abff9e40f",GET,/images/banner.png,,,200,image/png,,,60009322514800,60009325442500,60009326668800
"6aeded54-bdaa-45f5-a3fe-5c46f044a307",GET,/images/logo.png,,,200,image/png,,,60009345642800,60009348385400,60009349492900
"56bd212a-0692-4255-9877-c530e3388d8f",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,60009357319400,60009360343600,60009361414800
"80c53328-4af9-4ff1-bf2e-532af1fb0689",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,60009373269200,60009376117700,60009377176600
"335ce504-1d5b-4c22-be96-261c358649cc",GET,/images/favicon.ico,,,200,image/x-icon,,,60009385905200,60009397286800,60009398289700
"1438c9f4-9ce4-4de4-8680-cc2a9bf68527",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=659&username=",,60009403554900,60009412300900,60010800597500
"ef447140-ed84-44dd-a63e-f3f62644a440",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,60010827103600,60010829368900,60010830127700
"629f3464-c30d-4be9-91d8-15f777edd06d",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,60010836012600,60010838916300,60010840189800
"58381022-fbe7-4fbd-811e-18f31f9b5891",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,60010846607800,60010849008200,60010849943800
"f2dec8d0-d044-4f2d-b61d-422691bcd392",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,60010855780500,60010858416000,60010859608400
"e035efdc-7c90-4f41-91eb-02ac85f47025",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,60010866163500,60010869334700,60010870635600
"95b7c1bd-e295-497b-83cd-375846f376ad",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,60010876994300,60010879387100,60010880342000
"3e5b950c-4412-4ad9-99f6-8763d4d3679c",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,60010885984000,60010888594200,60010889598200
"82aa3c51-d47c-4323-9afd-082330cf06f3",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,60010896152700,60010898407800,60010899090200
"6d2432ed-1133-4736-8334-d2c9b5019c04",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,60010905113300,60010908080900,60010909231400
"5a6776f3-a973-4124-bfdc-7c3292807c63",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,60010915430800,60010917859200,60010918913700
"5a8d37ca-78f9-46e6-974e-d5d86bbed39e",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,60010924993500,60010926879900,60010927586200
