request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"3515603b-dc91-4d59-bf88-98d80ca27522",GET,/,"debug=true&locale=en",,302,,,,57447516487700,57447601687100,57447607588100
"3733a64b-fb18-4419-af7f-0e17ab6abca8",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=648,,57447637249800,57447651256200,57453046482700
"c0ac0756-925a-4122-81e1-d8f2bc45d8fc",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,57453212997600,57453226133700,57453228193300
"b46c4bc0-f839-40ef-b33a-0285425bb8d7",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,57453242541900,57453247984600,57453249598400
"83ac0604-c608-4259-9520-351fbc8f459c",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,57453258865300,57453262638200,57453264395800
"e3f469c1-43d8-40b1-8733-9b57f0e40b9e",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,57453274185100,57453278809200,57453280837700
"ece6ce80-2300-49e0-856e-26a7f0da3fe3",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,57453291841700,57453296267200,57453297671400
"c7cd2bb8-2c0d-4148-bfb8-5b5da6db9a17",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,57453305812000,57453309586100,57453311146800
"7bfd1866-a0bd-43ff-857a-80f9b57cc875",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,57453320592800,57453325175500,57453326804500
"2dd1a427-e4ac-426b-a6f0-13e2e07b21e0",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,57453335253500,57453339113400,57453340515300
"a09b2cb6-d9e7-428d-a1f6-473bd4818ec7",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,57453348102500,57453354251600,57453356357100
"c77c10eb-50c8-41c9-ac45-1a12eef51e5e",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,57453367266700,57453371102500,57453372511300
"a45f66bf-9e9c-4d63-876d-3d91ae09c39b",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,57453386132600,57453389815600,57453391256500
"855d9f7a-f2cf-418a-a596-948ded7cadc9",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,57453398954400,57453402094200,57453403389100
